Word	Category	WordClass	TranslationEng	SearchTermsEng	StatusEng	TranslationEpo	TranslationSpa	TranslationDeu	Synonyms	Antonyms	Example	Tags	LexiliAsel	LexiliEstatus	TranslationFra	TranslationRus	TranslationZho
antena	root	n	antenna (_device_), aerial			anteno (aparato)	antena (dispositivo)						Englisa (antenna), Espanisa (antena), Fransesa (antenne), Rusisa (антенна “antenna”), Doycisa (Antenne), Indonesisa (antena), Pilipinasa (antena), Hindisa (एन्टेना “entena", ऐंटिना “entina”), Niponsa (アンテナ “antena”), Keralasa (ആന്റിന “antina”), Turkisa (anten), Vyetnamsa (ăngten), Hangusa (안테나 “antena”), Parsisa (آنتن “anten”), Swahilisa (antena)				
anti	root	p	_**prep**_ against, versus		reviewed	kontraŭ	en contra de			pro			Englisa (anti-), Fransesa (anti-), Doycisa (anti-), Rusisa (антитело “antitelo”), Espanisa (anti-), Indonesisa (anti-), Turkisa (anti-), Hangusa (안티 “anti”), Niponsa (アンチ “anci”)	leferesmi			
Antigwa ji Barbuda	root	n	_**n**_ Antigua and Barbuda		reviewed	Antigvo kaj Barbudo	Antigua y Barbuda					dexa	Englisa (Antigua and Barbuda)	leferesmi			
antimonyum	root	n	_**n**_ antimony			antimono	antimonio					kimikali monlari	Englisa (antimony), Espanisa (antimonio), Fransesa (antimoine), Doycisa (Antimon), Indonesisa (antimon), Pilipinasa (intimonyo, antimony), Arabisa (أَنْتِيمُون “antimun”), Niponsa (アンチモン “ancimon”, アンチモニー “ancimoni”), Telugusa (ఆంటిమొని “antimoni”), Turkisa (antimon), Hangusa (안티몬 “antimon”, 안티모니 “antimoni”), Vyetnamsa (antimon), Parsisa (انتیموان “antimuân”), Swahilisa (antimon)				
antru	root	n	_**n**_ intestine, bowel, guts	intestine, bowel, gut, guts	reviewed	intesto, intestaro, internaĵo(j)	intestino, entrañas					jismulogi	Hindisa (आंत्र “antr”), Telugusa (ఆంత్రము “āntramu”)	leferesmi			
anwi	root	n/f.oj	_**n**_ consolation, solace; _**v.tr**_ comfort, console			konsolo; konsoli	consuelo, solaz; consolar, confortar						Putunhwa (安慰 “anwey”), Vyetnamsa (an ủi), Niponsa (安慰 “ani”), Hangusa (안위 “anwi”)				
anxi	root	n/f.oj	implication, hint; imply, allude (to), hint (at), insinuate			insinuo, aludo; insinui, aludi, subkomprenigi, duondiri							Putunhwa (暗示 “anxi”), Niponsa (暗示 “anji”), Hangusa (암시 “amxi”), Vyetnamsa (ám thị)				
aorta	root	n	aorta			aorto	aorta						Englisa (aorta), Espanisa (aorta), Fransesa (aorte), Rusisa (аорта “aorta”), Doycisa (Aorta), Indonesisa (aorta), Pilipinasa (aorta), Arabisa (أَوُرْطَى “awurta”), Turkisa (aort), Parsisa (آئورت “aort”), Swahilisa (aorta)				
apartamen	root	n	_**n**_  apartment, flat		reviewed	apartamento	apartamento					kostruixey	Englisa (apartment), Fransesa (appartement), Doycisa (Appartement), Rusisa (апартамент “apartament”), Espanisa (apartament), Turkisa (apartman), Indonesisa (apartemen), Pilipinasa (apartment), Niponsa (アパート “apato”), Hangusa (아파트 “apatu”), Hindisa (अपार्टमेंट “apartament”), Parsisa (آپارتمان “âpârtemân”)	leferesmi			
aplika	root	n/f.oro.b	_**n**_  application; _**v.ambi.p**_ apply (_bring or put into operation or practical use_), be applicable (to)		reviewed	apliko; apliki	aplicación; aplicar (_poner en operación o uso práctico_), aplicarse						Englisa (apply, application), Fransesa (appliquer), Espanisa (aplicar)	leferesmi			
aprikoti	root	n	_**n**_ apricot		reviewed	abrikoto	albaricoque					yamxey, fruta	Englisa (apricot), Fransesa (abricot), Doycisa (Aprikose), Rusisa (абрикос “abrikos”), Espanisa (albaricoque), Indonesisa (aprikot), Pilipinasa (albarikoke), Swahilisa (aprikoti)	leferesmi			
aproba	root	n/f.oro.a	_**n**_  approval; _**v.ambi.a**_ approve (of)		reviewed	aprobo; aprobi	aprobación; aprobar						Englisa (approve, approbation), Espanisa (aprobar, aprobación) Fransesa (approuver, approbation), Polskasa (aprobata), Pilipinasa (aproba)	leferesmi			
Arabi	root	n	_**n**_  Arabia, Arabian Peninsula		reviewed	Arabio, Arabujo, Araba Duoninsulo	Arabia, la Península Arábiga					geografi	Arabisa (العربية “alearabia”)	leferesmi			
arcivo	root	n/f.oj	archive; archivize			arkivo, arĥivo; arkivi, arĥivi	archivo; archivar						Englisa (archive), Espanisa (archivo), Fransesa (archives), Rusisa (архив "arhiv"), Doycisa (Archiv), Indonesisa (arsip), Pilipinasa (artsibo), Arabisa (أَرْشِيف "arxif"), Niponsa (アーカイブ "akaybu"), Turkisa (arşiv), Hangusa (아카이브 "akaybu"), Parsisa (آرشیو "arxiv")				
ardwazi	root	n	_**n**_ slate			ardezo	pizarra (_roca_)						Fransesa (ardoise), Portugalsa (ardósia), Italisa (ardesia), Arabisa (أَرْدْوَاز “ardwaz”), Turkisa (arduvaz)				
are	root	n	_**n**_ pastor (_male or female_) 			pastro, pastrino	pastor, pastora					dini	Am oko _mare_, _pare_. 				
aresto	root	n/f.oj	_**n**_ arrest; _**v.tr**_ arrest, apprehend, take into custody		reviewed	aresto; aresti	detención, arresto; detener, arrestar, tomar en custodia						Englisa (arrest), Fransesa (arrestation), Espanisa (arresto), Rusisa (арест “arest”, арестовать “arestovat”), Pilipinasa (aresto)	leferesmi			
Argentina	root	n	_**n**_  Argentina		reviewed	Argentino	Argentina					dexa	Espanisa (Argentina)	leferesmi			
argon	root	n	_**n**_ argon			Argono	argón					kimikali monlari	Englisa (argon), Espanisa (argón), Fransesa (argon), Rusisa (аргон “argon”), Doycisa (Argon), Indonesisa, Pilipinasa, Hindisa (अर्गोन “argon”), Arabisa (أَرْجُون “arjun”, أَرْجُون “argun”, أَرْغُون “argun”), Niponsa (アルゴン “arugon”), Telugusa (ఆర్గాన్ “argan”), Turkisa (argon), Hangusa (아르곤 “arugon”), Vyetnamsa (agon), Parsisa (آرگون “ârgon”), Swahilisa (argoni)				
arkitetur	root	n	_**n**_  architecture		reviewed	arĥitekturo, arkitekturo	arquitectura						Englisa (architecture), Fransesa, Doycisa (Architektur), Rusisa (архитектура “arxitektura”), Espanisa (arquitectura), Indonesisa (arsitektur), Pilipinasa (arkitektura)	leferesmi			
